ReviewID,Reviewer Name,Review,Rating,Date-of-Review
978295290,Kyle S,Just not the same. Dont waste your time watch the disney classic instead.,2.5,2019-10-02T15:09:44.953Z
978295251,guillermo r,Wish I had not seen this. ,1.5,2019-10-02T14:31:05.427Z
978295118,Johnny N,"The movie's unnecessary need to be true to its source material forces the audience to make that exact comparison, even if it's subconsciously. It's just like the original... except not as good... especially the songs.   ",3.0,2019-10-02T12:15:32.895Z
950916199,,"The Lion King is a 2019 American musical film directed and produced by Jon Favreau. The colour and lighting seemed off in the first half, during which I found it difficult to focus. The animation and narrative did pick up during the second half, but there seemed something lacking and not quite right with the overall production. ",2.5,2019-10-02T11:29:49.356Z
932852458,Thomas B,Great animation/live action. Loved it.,4.0,2019-10-02T02:10:10.401Z
260310611,,"Loved the movie, but I didn't like beyonce's singing unfortunately. Wish they would have stuck to a simpler melody for the iconic song. ",3.5,2019-10-02T00:23:15.921Z
978294511,Andrew S,Visually stunning with opportunities for all the nostalgic feels. Only because the original is so classic does this have value though.,3.5,2019-10-02T00:20:16.023Z
972631439,Gadiel L,Too short for a live action movie ,2.0,2019-10-01T21:08:06.405Z
978294269,Andrew L,"The story is pretty much the same as the classic Disney animated films; only Mufasa's line have changed, and only slightly.

The child Nala is great, while adult Nala is painfully bad. While kid Simba is painful, and adult Simba was surprisingly enjoyable. (Why couldn't Matthew Broderick, or Whoopie reprise their roles? Because James Earl Jones was great.)

The T+P new combo works and I actually really enjoyed the new Scar as he now seems like an actual villain. Sarabi gets lines and feels like a character instead of a cut out, the hyenas are less goofy which isn't 'bad,' but isn't 'good' either.. I'm indifferent to them... but overall..

You've seen this movie before and it isn't as good as Hamlet or the Lion King from your childhood. ",2.0,2019-10-01T20:22:31.105Z
812622099,Zachary C,"Absolutely horrible. I HATED the actor choices. Billy Eichner is a terrible actor that can literally only play one type of character, one that screams and hollers EVERYTHING he says. That's not the Timon I remember as a kid. And changing the lines and songs for a more ""hollywood"" feel was a appalling decision. This is one of the worst movies I've ever seen in my life.",0.5,2019-10-01T20:20:50.903Z
978294263,Malcolm B,Average film that doesn't live up to the greatness of the orig,3.0,2019-10-01T20:00:22.216Z
978242210,Wes H,Stop copy/pasting ,0.5,2019-10-01T09:07:54.192Z
978292715,Jack B,Please Disney stop your ruining our childhood memories by replacing it with cgi . It's just a greedy moneymaking scam. First Cinderella now this. That's when i loose faith in disney. Two stars for the kind of cool cgi.,2.0,2019-09-30T19:30:44.274Z
978292665,Grizel P,"Very good film, songs bring us a lot of nostalgia but there are some characters who lost their essence in this film and I saw the film in Spanish and the dubbing is pestimus but, for those who saw the 1994 mas film, I recommend watching this movie with the whole family.",3.5,2019-09-30T18:33:29.907Z
978292659,Lance M,Loved it! CGI were great and the revamp was on point. Great for new viewers and those that loved the original. ,5.0,2019-09-30T18:21:07.102Z
978292430,Scotty O,"It's okay, but we're finally starting to get to when Disney remakes are getting stale. ",3.0,2019-09-30T15:30:46.181Z
978291503,Ali F,Only thing i loved about this movie was the intro... the rest was dull.,2.0,2019-09-29T23:49:52.773Z
978291443,Eliane S,What an incredible production - what a beautiful movie - to watch over and over! Will own this one once available:) and watch with my nieces ,5.0,2019-09-29T23:20:09.326Z
978291304,Joshua J,I felt like they made scar so much weaker then his animated version. Plus it sounded like they were straining themselves tryin to sing some of those songs.,2.5,2019-09-29T21:08:49.773Z
977690953,D M,Amazing graphics can't make up for the lack of expression the cgi gave us. It takes away too much character to make the film enjoyable.,2.5,2019-09-29T20:32:19.254Z
978291167,Liam M,"Not as good as the animation, but still a great film
",4.0,2019-09-29T19:48:41.086Z
260253341,,This movie is not a bad movie as long as Beyoncé is not in any of the scenes ,2.0,2019-09-29T17:55:45.296Z
260323716,,"Faithful, fun reproduction. ",3.5,2019-09-29T17:30:41.999Z
260247279,,"Cats dont have facial expressions, so the story felt kind of disjointed. Its hard not to judge this one against the animated movie. Thats not to say that this did not have something to smile about. The animated movie was better.",1.5,2019-09-29T13:32:07.526Z
936729346,Alexander S,I like this version more than the first. Totally recommend it to anyone that liked the first one or has never seen it.,5.0,2019-09-29T12:48:34.167Z
978290511,Noah B,"I honestly think that this movie is highly underrated. it put the character of the original film into a new, more modern light.",3.5,2019-09-29T11:58:35.603Z
976748146,Gleb T,"While this should work on a nostalgic level, remaking vibrant animated film into a soulless cash-grab that lacks any emotion whatsoever (literally and figuratively) was a huge mistake. Not from a monetary point of view, though. ",1.5,2019-09-29T10:46:29.897Z
978290333,Wilson L,"This is a pretty good re-creation of the original movie, with good CG and visual effects, but it was a pretty bland recreation at that. The director could have changed a couple of details to the movie overall.",3.5,2019-09-29T08:38:26.643Z
978113360,galaxy d,"This was so HURT to watch after whole trailer release and i refunded my ticket. ahah. Its a MEM MOVIE. So many MEMs you can create with this. And this supposed to be the great masterpiece. No, thank you. I forever will watch the original one. 
",0.5,2019-09-29T07:56:01.678Z
787843949,Matt D,"Besides it being verbatim of the classic, it was still worth the watch. ",3.0,2019-09-29T06:17:00.125Z
978290138,Kennedy B,"O filme tenta recriar ou contar a história de um jeito diferente sem a falta da essência do antigo como Alladin, porém falha miseravelmente. Mas no quesito visual, musical e nostálgico o filme consegue trazer ótimos momentos que fazer você e seu filho a aproveita-lo. Por isso 2,5 estrelas, se fosse por nota de 1 a 10, acho que 7 tá de bom tamanho.",2.5,2019-09-29T05:17:15.482Z
976489402,,"Awesome movie, doesn’t have to be compared to the original to be enjoyable ",4.0,2019-09-29T01:30:42.666Z
793980195,Saurabh C,"I haven't seen the original one, so I liked it, was fun in places. Could have been much better though, didn't completely live up to in few scenes. ",3.5,2019-09-28T23:29:59.880Z
260323525,,"I thought this movie was well done. They mixed some other Disney movies into there, which I thought was clever. Jon Favreau is a fabulous director. I loved the song adaptations that they did.",4.0,2019-09-28T22:56:04.430Z
978289415,kai m,I think the live action Lion King wasn't horriably bad but it didnt exactly reaching my inner childhood. I was disappointed with song be prepeared sung by scar. I personally believe Jeremy Iron's scar was far better.,3.0,2019-09-28T22:00:08.238Z
978289290,Bea H,"The story itself is a classic, though this is a serious downgrade from the 1994 original. It's borderline offensive, as an animator, to watch CGI animals express no emotion whatsoever for the sake of ""realism."" Cripplingly uninspired. ",1.5,2019-09-28T19:12:34.437Z
978289257,Royal Q,"If you want to see this movie, see the original. You gain nothing from watching this over the '94 film.",0.5,2019-09-28T18:59:56.338Z
978268951,Flor B,STOP with the live-actions.,0.5,2019-09-28T17:09:16.742Z
868578416,,Fun movie for entire family!,4.5,2019-09-28T14:15:59.878Z
973897791,Marko B,Pretty much a seen by seen rehash of the cartoon. Good for today's generation ,1.0,2019-09-28T09:52:36.466Z
978288215,Keara S,A lot of the acting was lackluster and a lot of key songs were cut for sensitive audiences. It strayed a little too far from the original for me in certain areas.,2.0,2019-09-28T05:04:31.615Z
978287943,Araceli Z,"I'm a huge fan of every voice actor in this film, but I felt as if the surplus amount of celebrities was overwhelming. Scenes were also much more dramatized than the original, which took away from it being a children's movie. In my opinion, the emotion in the 1994 version of The Lion King is too iconic to be recreated, but the directors rendition was absolutely phenomenal and respectful to the original. 
",3.0,2019-09-28T01:29:49.332Z
978287721,Ryan C,Definitely paid the right amount of homage. I feel like parts were a bit overdone for the sake of Disney though....  ,3.5,2019-09-27T22:16:51.359Z
